time,current,voltage
24-05-12 10:01.00,0.34,3.242
24-05-12 10:01.15,0.324,3.237
24-05-12 10:01.30,0.353,3.234
24-05-12 10:01.45,0.343,3.233
24-05-12 10:02.00,0.353,3.232
24-05-12 10:02.15,0.352,3.232
24-05-12 10:02.30,0.352,3.231
24-05-12 10:02.45,0.376,3.232
24-05-12 10:03.00,0.379,3.231
24-05-12 10:03.15,0.372,3.232
24-05-12 10:03.30,0.356,3.231
24-05-12 10:03.45,0.37,3.231
24-05-12 10:04.00,0.358,3.231
24-05-12 10:04.15,0.367,3.231
24-05-12 10:04.30,0.357,3.23
24-05-12 10:04.45,0.377,3.23
24-05-12 10:05.00,0.387,3.23
24-05-12 10:05.15,0.371,3.231
24-05-12 10:05.30,0.374,3.23
24-05-12 10:05.45,0.363,3.232
24-05-12 10:06.00,0.372,3.236
24-05-12 10:06.15,0.338,3.239
24-05-12 10:06.30,0.341,3.241
24-05-12 10:06.45,0.313,3.242
24-05-12 10:07.00,0.322,3.242
24-05-12 10:07.15,0.346,3.241
24-05-12 10:07.30,0.339,3.242
24-05-12 10:07.45,0.334,3.244
24-05-12 10:08.00,0.315,3.246
24-05-12 10:08.15,0.308,3.246
24-05-12 10:08.30,0.323,3.248
24-05-12 10:08.45,0.334,3.249
24-05-12 10:09.00,0.334,3.249
24-05-12 10:09.15,0.334,3.25
24-05-12 10:09.30,0.349,3.249
24-05-12 10:09.45,0.343,3.245
24-05-12 10:10.00,0.356,3.243
24-05-12 10:10.15,0.351,3.242
24-05-12 10:10.30,0.347,3.242
24-05-12 10:10.45,0.361,3.242
24-05-12 10:11.00,0.357,3.243
24-05-12 10:11.15,0.355,3.243
24-05-12 10:11.30,0.363,3.243
24-05-12 10:11.45,0.346,3.245
24-05-12 10:12.00,0.36,3.246
24-05-12 10:12.15,0.346,3.248
24-05-12 10:12.30,0.334,3.25
24-05-12 10:12.45,0.35,3.252
24-05-12 10:13.00,0.326,3.253
24-05-12 10:13.15,0.326,3.255
24-05-12 10:13.30,0.333,3.255
24-05-12 10:13.45,0.328,3.256
24-05-12 10:14.00,0.328,3.253
24-05-12 10:14.15,0.343,3.254
24-05-12 10:14.30,0.334,3.257
24-05-12 10:14.45,0.311,3.258
24-05-12 10:15.00,0.329,3.257
24-05-12 10:15.15,0.333,3.258
24-05-12 10:15.30,0.317,3.259
24-05-12 10:15.45,0.324,3.26
24-05-12 10:16.00,0.302,3.261
24-05-12 10:16.15,0.318,3.262
24-05-12 10:16.30,0.338,3.262
24-05-12 10:16.45,0.311,3.263
24-05-12 10:17.00,0.319,3.264
24-05-12 10:17.15,0.317,3.265
24-05-12 10:17.30,0.337,3.266
24-05-12 10:17.45,0.318,3.266
24-05-12 10:18.00,0.329,3.267
24-05-12 10:18.15,0.32,3.268
24-05-12 10:18.30,0.328,3.268
24-05-12 10:18.45,0.313,3.268
24-05-12 10:19.00,0.321,3.269
24-05-12 10:19.15,0.324,3.27
24-05-12 10:19.30,0.318,3.271
24-05-12 10:19.45,0.333,3.271
24-05-12 10:20.00,0.316,3.272
24-05-12 10:20.15,0.303,3.273
24-05-12 10:20.30,0.298,3.273
24-05-12 10:20.45,0.315,3.274
24-05-12 10:21.00,0.3,3.275
24-05-12 10:21.15,0.316,3.273
24-05-12 10:21.30,0.313,3.27
24-05-12 10:21.45,0.336,3.271
24-05-12 10:22.00,0.331,3.269
24-05-12 10:22.15,0.357,3.268
24-05-12 10:22.29,0.346,3.268
24-05-12 10:22.44,0.344,3.268
24-05-12 10:22.59,0.341,3.268
24-05-12 10:23.14,0.356,3.268
24-05-12 10:23.29,0.344,3.268
24-05-12 10:23.44,0.351,3.268
24-05-12 10:23.59,0.362,3.269
24-05-12 10:24.14,0.338,3.27
24-05-12 10:24.29,0.344,3.274
24-05-12 10:24.44,0.345,3.273
24-05-12 10:24.59,0.344,3.275
24-05-12 10:25.14,0.331,3.278
24-05-12 10:25.29,0.319,3.279
24-05-12 10:25.44,0.321,3.28
24-05-12 10:25.59,0.32,3.281
24-05-12 10:26.14,0.336,3.281
24-05-12 10:26.29,0.318,3.282
24-05-12 10:26.44,0.311,3.283
24-05-12 10:26.59,0.3,3.282
24-05-12 10:27.14,0.306,3.283
24-05-12 10:27.29,0.311,3.284
24-05-12 10:27.44,0.309,3.284
24-05-12 10:27.59,0.318,3.285
24-05-12 10:28.14,0.323,3.284
24-05-12 10:28.29,0.317,3.286
24-05-12 10:28.44,0.32,3.286
24-05-12 10:28.59,0.319,3.287
24-05-12 10:29.14,0.314,3.287
24-05-12 10:29.29,0.312,3.288
24-05-12 10:29.44,0.329,3.289
24-05-12 10:29.59,0.324,3.287
24-05-12 10:30.14,0.345,3.282
24-05-12 10:30.29,0.335,3.281
24-05-12 10:30.44,0.364,3.281
24-05-12 10:30.59,0.34,3.281
24-05-12 10:31.14,0.344,3.281
24-05-12 10:31.29,0.348,3.281
24-05-12 10:31.44,0.351,3.284
24-05-12 10:31.59,0.339,3.287
24-05-12 10:32.14,0.324,3.29
24-05-12 10:32.29,0.318,3.291
24-05-12 10:32.44,0.318,3.291
24-05-12 10:32.59,0.334,3.292
24-05-12 10:33.14,0.332,3.293
24-05-12 10:33.29,0.317,3.294
24-05-12 10:33.44,0.332,3.295
24-05-12 10:33.59,0.326,3.295
24-05-12 10:34.14,0.322,3.296
24-05-12 10:34.29,0.322,3.296
24-05-12 10:34.44,0.323,3.297
24-05-12 10:34.59,0.32,3.297
24-05-12 10:35.14,0.334,3.297
24-05-12 10:35.29,0.328,3.296
24-05-12 10:35.44,0.32,3.298
24-05-12 10:35.59,0.331,3.298
24-05-12 10:36.14,0.333,3.298
24-05-12 10:36.29,0.322,3.297
24-05-12 10:36.44,0.322,3.298
24-05-12 10:36.59,0.339,3.297
24-05-12 10:37.14,0.341,3.296
24-05-12 10:37.29,0.339,3.293
24-05-12 10:37.44,0.328,3.293
24-05-12 10:37.59,0.344,3.292
24-05-12 10:38.14,0.346,3.293
24-05-12 10:38.29,0.345,3.294
24-05-12 10:38.44,0.346,3.295
24-05-12 10:38.59,0.344,3.293
24-05-12 10:39.14,0.345,3.292
24-05-12 10:39.29,0.369,3.292
24-05-12 10:39.44,0.353,3.291
24-05-12 10:39.59,0.353,3.291
24-05-12 10:40.14,0.353,3.291
24-05-12 10:40.29,0.356,3.29
24-05-12 10:40.44,0.355,3.29
24-05-12 10:40.59,0.358,3.29
24-05-12 10:41.14,0.363,3.29
24-05-12 10:41.29,0.361,3.289
24-05-12 10:41.44,0.359,3.289
24-05-12 10:41.59,0.353,3.289
24-05-12 10:42.14,0.351,3.289
24-05-12 10:42.29,0.363,3.289
24-05-12 10:42.44,0.373,3.288
24-05-12 10:42.59,0.376,3.288
24-05-12 10:43.14,0.375,3.288
24-05-12 10:43.29,0.366,3.288
24-05-12 10:43.44,0.369,3.288
24-05-12 10:43.59,0.357,3.287
24-05-12 10:44.14,0.364,3.287
24-05-12 10:44.29,0.346,3.287
24-05-12 10:44.44,0.356,3.287
24-05-12 10:44.58,0.364,3.287
24-05-12 10:45.13,0.361,3.287
